label,sentence,sample_index
1,yet the act is still charming here,3
1,whether or not you re enlightened by any of derrida s lectures on the other and the self derrida is an undeniably fascinating and playful fellow,4
1,part of the charm of satin rouge is that it avoids the obvious with humour and lightness,6
1,good fun good action good acting good dialogue good pace good cinematography,9
1,still this flick is fun and host to some truly excellent sequences,11
1,australian actor director john polson and award winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation,12
1,you ll probably love it,16
1,grenier is terrific bringing an unforced rapid fire delivery to toback s heidegger and nietzsche referencing dialogue,18
1,the actors are fantastic,19
1,they are what makes it worth the trip to the theatre,20
1,take care of my cat is an honestly nice little film that takes us on an examination of young adult life in urban south korea through the hearts and minds of the five principals,24
1,their computer animated faces are very expressive,29
1,auto focus works as an unusual biopic and document of male swingers in the playboy era,33
1,feeling to it but like the 1920 s the trip there is a great deal of fun,35
1,but believe it or not it s one of the most beautiful evocative works i ve seen,38
1,garcía bernal and talancón are an immensely appealing couple and even though their story is predictable you ll want things to work out,39
1,the wanton slipperiness of corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art,42
1,a welcome relief from baseball movies that try too hard to be mythic this one is a sweet and modest and ultimately winning story,46
1,a crisp psychological drama and a fascinating little thriller that would have been perfect for an old twilight zone episode,47
1,a smart steamy mix of road movie coming of age story and political satire,51
1,a terrific b movie in fact the best in recent memory,54
1,what s really so appealing about the characters is their resemblance to everyday children,58
1,allen s funniest and most likeable movie in years,62
1,it s a glorious spectacle like those d w griffith made in the early days of silent film,63
1,this comic gem is as delightful as it is derivative,64
1,more timely than its director could ever have dreamed this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders desperate for work and food,65
1,the leaping story line shaped by director peter kosminsky into sharp slivers and cutting impressions shows all the signs of rich detail condensed into a few evocative images and striking character traits,66
1,the production has been made with an enormous amount of affection so we believe these characters love each other,67
1,certainly the performances are worthwhile,68
1,winds up being both revelatory and narcissistic achieving some honest insight into relationships that most high concept films candy coat with pat storylines precious circumstances and beautiful stars,69
1,watching these eccentrics is both inspiring and pure joy,70
1,steven spielberg brings us another masterpiece,71
1,ms seigner and mr serrault bring fresh unforced naturalism to their characters,73
1,a good film with a solid pedigree both in front of and more specifically behind the camera,75
1,i encourage young and old alike to go see this unique and entertaining twist on the classic whale s tale you wo n t be sorry,77
1,it celebrates the group s playful spark of nonconformity glancing vividly back at what hibiscus grandly called his angels of light,82
1,it is also a testament to the integrity and vision of the band,84
1,laced with liberal doses of dark humor gorgeous exterior photography and a stable full of solid performances no such thing is a fascinating little tale,85
1,she allows each character to confront their problems openly and honestly,88
1,has a certain ghoulish fascination and generates a fair amount of b movie excitement,92
1,familiar but utterly delightful,93
1,a fascinating dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction,94
1,the film aims to be funny uplifting and moving sometimes all at once,95
1,the extent to which it succeeds is impressive,96
1,the film brilliantly shines on all the characters as the direction is intelligently accomplished,97
1,as broad and cartoonish as the screenplay is there is an accuracy of observation in the work of the director frank novak that keeps the film grounded in an undeniable social realism,99
1,in addition to hoffman s powerful acting clinic this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt or will feel someday,100
1,jeffrey tambor s performance as the intelligent jazz playing exterminator is oscar worthy,101
1,stevens vibrant creative instincts are the difference between this and countless other flicks about guys and dolls,103
1,it is most remarkable not because of its epic scope but because of the startling intimacy it achieves despite that breadth,109
1,miller tells this very compelling tale with little fuss or noise expertly plucking tension from quiet,112
1,it s a sweet laugh a minute crowd pleaser that lifts your spirits as well as the corners of your mouth,114
1,writer director alexander payne election and his co writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing,115
1,it s tough to watch but it s a fantastic movie,116
1,the best animated feature to hit theaters since beauty and the beast 11 years ago,117
1,what saves this deeply affecting film from being merely a collection of wrenching cases is corcuera s attention to detail,118
1,pacino is the best he s been in years and keener is marvelous,119
1,a solid spooky entertainment worthy of the price of a ticket,120
1,very funny very enjoyable,122
1,moonlight mile gives itself the freedom to feel contradictory things,125
1,australia land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place,130
1,hoffman s performance is authentic to the core of his being,131
1,an enthralling aesthetic experience one that s steeped in mystery and a ravishing baroque beauty,133
1,the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths,134
1,a captivating coming of age story that may also be the first narrative film to be truly informed by the wireless age,135
1,what could have been a daytime soap opera is actually a compelling look at a young woman s tragic odyssey,136
1,duvall is strong as always,137
1,measured against practically any like themed film other than its oscar sweeping franchise predecessor the silence of the lambs red dragon rates as an exceptional thriller,141
1,maelstrom is strange and compelling engrossing and different a moral tale with a twisted sense of humor,142
1,the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life but also acknowledging the places and the people from whence you came,145
1,a terrific insider look at the star making machinery of tinseltown,146
1,the film offers an intriguing what if premise,150
1,poignant and delicately complex,153
1,despite the film s shortcomings the stories are quietly moving,157
1,if you come from a family that eats meddles argues laughs kibbitzes and fights together then go see this delightful comedy,158
1,this bracingly truthful antidote to hollywood teenage movies that slather clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty,159
1,it has its faults but it is a kind unapologetic sweetheart of a movie and mandy moore leaves a positive impression,162
1,the saigon of 1952 is an uneasy mix of sensual delights and simmering violence and the quiet american brings us right into the center of that world,163
1,despite its shortcomings girls ca n t swim represents an engaging and intimate first feature by a talented director to watch and it s a worthy entry in the french coming of age genre,164
1,with dirty deeds david caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control driven by a natural sense for what works on screen,165
1,the humor and humanity of monsoon wedding are in perfect balance,166
1,a compelling motion picture that illustrates an american tragedy,168
1,what sets it apart is the vision that taymor the avant garde director of broadway s the lion king and the film titus brings,172
1,stevens has a flair for dialogue comedy the film operates nicely off the element of surprise and the large cast is solid,173
1,it s good hard edged stuff violent and a bit exploitative but also nicely done morally alert and street smart,177
1,it s a rare window on an artistic collaboration,179
1,perhaps the best sports movie i ve ever seen,181
1,a sensitive moving brilliantly constructed work,183
1,an edgy thriller that delivers a surprising punch,184
1,reno delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well balanced fashion,186
1,a confident richly acted emotionally devastating piece of work and 2002 s first great film,188
1,a touching small scale story of family responsibility and care in the community,189
1,arteta directs one of the best ensemble casts of the year,190
1,a gem of a romantic crime comedy that turns out to be clever amusing and unpredictable,193
1,stands as one of the year s most intriguing movie experiences letting its imagery speak for it while it forces you to ponder anew what a movie can be,194
1,the first 2 3 of the film are incredibly captivating and insanely funny thanks in part to interesting cinematic devices cool visual backmasking a solid cast and some wickedly sick and twisted humor,195
1,this movie got me grinning,196
1,not everyone will welcome or accept the trials of henry kissinger as faithful portraiture but few can argue that the debate it joins is a necessary and timely one,201
0,despite its hawaiian setting the science fiction trimmings and some moments of rowdy slapstick the basic plot of lilo could have been pulled from a tear stained vintage shirley temple script,204
1,filled with honest performances and exceptional detail baran is a gentle film with dramatic punch a haunting ode to humanity,205
1,a triumph of emotionally and narratively complex filmmaking,207
1,simply put far from heaven is a masterpiece,208
1,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time,209
1,top notch action powers this romantic drama,212
